RobertsNum,Species,Latin,Mass,Length,Wing,Breed,BrSys,Diet,ShrubNest,CavityNest,TreeNest,GroundNest,GrassNest,NestMinHt,NestMaxHt,ClutchM,EggDim1,EggDim2,IncPeriod,NestlingPeriod,DepFledPer,NestlingPred,EggPred,Parasite,AdPred,MaxLifespan,AnnSurvival,MultiBrood,Phylo
664,Zitting Cisticola,Cisticola juncidis,9,11,48,1,Pair,invertebrates,0,0,0,0,1,0.1,0.25,3.3,15.1,11.4,13.5,13.5,,0,0,0,0,,,,
665,Desert Cisticola,Cisticola aridulus,9,11,47.2,1,Pair,invertebrates,0,0,0,0,1,0,0.15,3.4,15,11.3,14,15.5,,0,0,0,0,,,,
672,Rattling Cisticola,Cisticola chiniana,16,15,55.3,1,Pair,invertebrates,1,0,1,0,1,0,1.2,3.1,16.9,12.4,13.5,14,,0,0,0,0,1,,,
674,Red-faced Cisticola,Cisticola erythrops,15,14,52.9,1,Pair,invertebrates,1,0,1,0,1,0,0.5,2.7,17.7,12.8,14,15,,0,0,0,0,8.5,0.529,,
678,Croaking Cisticola,Cisticola natalensis,20,15,59.9,1,Pair,invertebrates,0,0,0,0,1,0.1,0.25,3.3,18.7,13.7,18,14.5,,0,0,0,0,,,,
679,Lazy Cisticola,Cisticola aberrans,14,14,50.8,1,Pair,invertebrates,0,0,0,0,1,,,3.1,17,12.3,14,13.5,21,0,0,0,0,,,,
681,Neddicky,Cisticola fulvicapilla,9,11,46.9,1,Pair,invertebrates,0,0,0,1,1,0,0.3,3,15.2,11.5,13.5,13.5,,0,0,0,0,,,,
683,Tawny-flanked Prinia,Prinia subflava,9.5,13,48,1,Pair,invertebrates,1,0,0,0,1,0.5,2.5,3.1,16,11.4,13.5,13.4,,0,0,0,0,8.25,0.598,,
689,Spotted Flycatcher,Muscicapa striata,15,14,86,0,Pair,invertebrates,0,0,0,0,0,,,,,,,,,0,0,0,0,11,,,
691,Ashy Flycatcher,Muscicapa caerulescens,18,15,72.8,1,Pair,invertebrates,0,1,0,0,0,2,15,2.8,19.2,14.2,14,14,,0,0,0,0,2.8,,,
693,Grey Tit-Flycatcher,Myioparus plumbeus,21,14,63.4,1,Pair,invertebrates,0,1,0,0,0,3,10,2.3,17.2,13,,,,0,0,0,0,,,,
694,Southern Black Flycatcher,Melaenornis pammelaina,30,20,105,1,Pair,invertebrates,0,1,0,0,0,1.5,9,2.6,21.5,16,14.5,17.5,,0,0,0,0,8.2,,1,
